İL,İLÇE,MEVKİ,ADA,PARSEL,M2 NET,FİYAT,SATIŞ DURUMU
BURSA,İZNİK,ELBEYLİ,1411,30,365,2737500,Satışa Açık
BURSA,İZNİK,ELBEYLİ,1411,31,365,,Satıldı
BURSA,İZNİK,ELBEYLİ,1411,32,355,,Satıldı
BURSA,İZNİK,ELBEYLİ,1411,33,667,4002000,Satışa Açık
Çanakkale,Lapseki,Şahinli,0,870,300,,Satıldı
Çanakkale,Lapseki,Şahinli,0,871,300,,Satıldı
Çanakkale,Lapseki,Şahinli,0,872,300,,Satıldı
Çanakkale,Lapseki,Şahinli,0,873,300,,Satıldı
Çanakkale,Lapseki,Şahinli,0,874,300,,Satıldı
Çanakkale,Lapseki,Şahinli,0,875,300,,Satıldı
Çanakkale,Lapseki,Şahinli,0,876,300,,Satıldı
Çanakkale,Lapseki,Şahinli,0,877,300,,Satıldı
Çanakkale,Lapseki,Şahinli,0,878,300,,Satıldı
Çanakkale,Lapseki,Şahinli,0,879,300,,Satıldı
Çanakkale,Lapseki,Şahinli,0,880,564,38,,satıldı
Çanakkale,Lapseki,Şahinli,0,881,314,38,,Satıldı
Çanakkale,Lapseki,Şahinli,0,882,288,01,,Satıldı
Çanakkale,Lapseki,Şahinli,0,883,332,97,,Satıldı
Çanakkale,Lapseki,Şahinli,0,884,358,59,,Satıldı
Çanakkale,Lapseki,Şahinli,0,885,260,,Satıldı
Çanakkale,Lapseki,Şahinli,0,886,260,,Satıldı
Çanakkale,Lapseki,Şahinli,0,887,340,86,,Satıldı
Çanakkale,Lapseki,Şahinli,0,888,345,96,,Satıldı
Çanakkale,Lapseki,Şahinli,0,889,270,,Satıldı
Çanakkale,Lapseki,Şahinli,0,890,280,,Satıldı
Çanakkale,Lapseki,Şahinli,0,891,270,,Satıldı
Çanakkale,Lapseki,Şahinli,0,892,357,35,,Satıldı
Çanakkale,Lapseki,Şahinli,0,893,359,23,,Satıldı
Çanakkale,Lapseki,Şahinli,0,894,280,,Satıldı
Çanakkale,Lapseki,Şahinli,0,895,300,,Satıldı
Çanakkale,Lapseki,Şahinli,0,896,300,,Satıldı
Çanakkale,Lapseki,Şahinli,0,897,300,,Satıldı
Çanakkale,Lapseki,Şahinli,0,898,361,41,1626345,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1048,374,2805000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1049,290,2175000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1050,331,2482500,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1051,376,2820000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1052,403,3022500,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1054,335,2512500,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1055,320,2400000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1056,425,3187500,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1057,253,1897500,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1058,252,1890000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1059,251,1882500,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1060,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1061,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1062,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1063,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1064,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1065,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1066,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1068,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1069,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1070,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1071,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1072,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1073,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1074,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1075,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1076,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1077,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1081,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1082,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1083,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1084,285,2137500,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1085,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1086,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1087,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1088,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1089,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1090,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1091,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1092,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1093,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1094,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1095,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1096,258,1935000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1098,259,1942500,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1099,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1100,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1101,363,2722500,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1104,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1105,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1106,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1107,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1108,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1109,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1110,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1111,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1112,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1113,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,190/1,1114,288,2160000,Satışa Açık
Kocaeli,İzmit,Kaynarca,186/1,1116,284,2130000,Satışa Açık
Kocaeli,İzmit,Kaynarca,186/1,1117,265,1987500,Satışa Açık
Kocaeli,İzmit,Kaynarca,186/1,1125,257,1927500,Satışa Açık
Kocaeli,İzmit,Kaynarca,186/1,1126,253,1897500,Satışa Açık
Kocaeli,İzmit,Kaynarca,186/1,1127,256,1920000,Satışa Açık
Kocaeli,İzmit,Kaynarca,186/1,1128,314,2355000,Satışa Açık
Kocaeli,İzmit,Kaynarca,186/1,1129,265,1987500,Satışa Açık
Kocaeli,İzmit,Kaynarca,186/1,1130,258,1935000,Satışa Açık
Kocaeli,İzmit,Kaynarca,186/1,1131,285,2137500,Satışa Açık
Kocaeli,İzmit,Kaynarca,186/1,1133,251,1882500,Satışa Açık
Kocaeli,İzmit,Kaynarca,186/1,1134,302,2265000,Satışa Açık
Kocaeli,İzmit,Kaynarca,186/1,1135,284,2130000,Satışa Açık
Kocaeli,İzmit,Kaynarca,186/1,1136,264,1980000,Satışa Açık
Kocaeli,İzmit,Kaynarca,186/1,1137,257,1927500,Satışa Açık
Kocaeli,İzmit,Kaynarca,186/1,1138,250,1875000,Satışa Açık
Kocaeli,İzmit,Kaynarca,186/1,1147,307,1995500,Satışa Açık
Kocaeli,İzmit,Kaynarca,186/1,1148,359,2333500,Satışa Açık
Kocaeli,İzmit,Kaynarca,186/1,1149,377,2450500,Satışa Açık
Kocaeli,İzmit,Kaynarca,186/1,1185,545,3542500,Satışa Açık
Kocaeli,İzmit,Kaynarca,186/1,1196,313,2034500,Satışa Açık
Kocaeli,İzmit,Kaynarca,187/1,1201,271,1761500,Satışa Açık
Kocaeli,İzmit,Kaynarca,187/1,1207,386,2509000,Satışa Açık
Kocaeli,İzmit,Kaynarca,187/1,1208,375,2437500,Satışa Açık
Kocaeli,İzmit,Kaynarca,187/1,1217,436,2834000,Satışa Açık
Kocaeli,İzmit,Kaynarca,187/1,1220,277,1800500,Satışa Açık
Kocaeli,İzmit,Kaynarca,187/1,1242,259,1683500,Satışa Açık
Kocaeli,İzmit,Kaynarca,187/1,1248,321,2086500,Satışa Açık
Kocaeli,İzmit,Kaynarca,187/1,1254,382,2483000,Satışa Açık
Kocaeli,İzmit,Kaynarca,187/1,1271,280,1820000,Satışa Açık
Kocaeli,İzmit,Kaynarca,187/1,1272,280,1820000,Satışa Açık
Kocaeli,İzmit,Kaynarca,189/1,1287,250,1625000,Satışa Açık
Kocaeli,İzmit,Kaynarca,189/1,1288,361,2346500,Satışa Açık
Kocaeli,İzmit,Kaynarca,189/1,1293,290,1885000,Satışa Açık
Kocaeli,İzmit,Kaynarca,189/1,1296,254,1651000,Satışa Açık
Kocaeli,İzmit,Kaynarca,119/314,1325,582,3055500,Satışa Açık
Kocaeli,İzmit,Kaynarca,119/314,1326,583,3060750,Satışa Açık
Kocaeli,İzmit,Kaynarca,119/315,1337,350,1837500,Satışa Açık
Kocaeli,İzmit,Kaynarca,188/1,1360,337,1769250,Satışa Açık
Kocaeli,İzmit,Kaynarca,188/1,1364,260,1365000,Satışa Açık
Kocaeli,İzmit,Kaynarca,188/1,1369,467,2451750,Satışa Açık
Kocaeli,İzmit,Kaynarca,188/1,1376,300,1575000,Satışa Açık
Kocaeli,İzmit,Kaynarca,188/1,1377,300,1575000,Satışa Açık
Kocaeli,İzmit,Kaynarca,188/1,1378,300,1575000,Satışa Açık
Kocaeli,İzmit,Kaynarca,188/1,1379,300,1575000,Satışa Açık
Kocaeli,İzmit,Kaynarca,188/1,1380,300,1575000,Satışa Açık
Kocaeli,İzmit,Kaynarca,188/1,1383,271,1422750,Satışa Açık
Kocaeli,İzmit,Kaynarca,188/1,1413,291,1527750,Satışa Açık
Kocaeli,İzmit,Kaynarca,188/1,1414,277,1454250,Satışa Açık
Kocaeli,İzmit,Kaynarca,119/363,1461,377,1979250,Satışa Açık
Kocaeli,İzmit,Kaynarca,119/382,1480,382,2005500,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,900,160,4167000,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,901,98,4171630,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,902,98,4176260,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,903,98,4180890,Satıldı
Çanakkale,Lapseki,Şahinli,901,904,92,4185520,Satıldı
Çanakkale,Lapseki,Şahinli,901,905,77,4190150,Satıldı
Çanakkale,Lapseki,Şahinli,901,906,77,4194780,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,907,77,4199410,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,908,77,4204040,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,909,77,4208670,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,910,77,4213300,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,911,77,4217930,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,912,77,4222560,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,913,77,4227190,Satıldı
Çanakkale,Lapseki,Şahinli,900,915,77,4236450,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,916,77,4241080,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,917,77,4245710,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,918,77,4250340,Satıldı
Çanakkale,Lapseki,Şahinli,900,919,77,4254970,Satıldı
Çanakkale,Lapseki,Şahinli,900,920,77,4259600,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,921,77,4264230,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,922,77,4268860,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,924,77,4278120,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,925,77,4282750,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,926,77,4287380,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,927,77,4292010,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,928,77,4296640,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,929,77,4301270,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,930,77,4305900,Satıldı
Çanakkale,Lapseki,Şahinli,901,931,77,4310530,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,932,77,4315160,Satıldı
Çanakkale,Lapseki,Şahinli,901,933,77,4319790,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,934,77,4324420,Satıldı
Çanakkale,Lapseki,Şahinli,901,935,77,4329050,Satıldı
Çanakkale,Lapseki,Şahinli,901,936,85,4333680,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,937,108,4338310,Satıldı
Çanakkale,Lapseki,Şahinli,901,938,77,4342940,Satıldı
Çanakkale,Lapseki,Şahinli,901,939,77,4347570,Satıldı
Çanakkale,Lapseki,Şahinli,901,940,77,4352200,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,941,77,4356830,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,942,77,4361460,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,943,77,4366090,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,944,77,4370720,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,945,77,4375350,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,946,77,4379980,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,948,77,4389240,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,949,77,4393870,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,950,77,4398500,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,951,77,4403130,Satıldı
Çanakkale,Lapseki,Şahinli,900,952,77,4407760,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,953,77,4412390,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,954,77,4417020,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,955,77,4421650,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,957,77,4430910,Satıldı
Çanakkale,Lapseki,Şahinli,901,958,77,4435540,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,959,77,4440170,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,960,77,4444800,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,961,77,4449430,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,962,77,4454060,Satıldı
Çanakkale,Lapseki,Şahinli,901,963,77,4458690,Satıldı
Çanakkale,Lapseki,Şahinli,901,964,140,4463320,Satıldı
Çanakkale,Lapseki,Şahinli,901,965,144,4467950,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,966,77,4472580,Satıldı
Çanakkale,Lapseki,Şahinli,901,967,77,4477210,Satışa Açık
Çanakkale,Lapseki,Şahinli,901,968,77,4481840,Satıldı
Çanakkale,Lapseki,Şahinli,900,970,77,4491100,Satıldı
Çanakkale,Lapseki,Şahinli,900,971,77,4495730,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,972,77,4500360,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,973,77,4504990,Satıldı
Çanakkale,Lapseki,Şahinli,900,974,115,4509620,Satıldı
Çanakkale,Lapseki,Şahinli,900,975,77,4514250,Satıldı
Çanakkale,Lapseki,Şahinli,900,976,115,4518880,Satıldı
Çanakkale,Lapseki,Şahinli,900,977,77,4523510,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,978,77,4528140,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,979,77,4532770,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,980,75,4537400,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,981,80,4542030,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,982,74,4546660,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,983,72,4551290,Satıldı
Çanakkale,Lapseki,Şahinli,899,984,75,4555920,Satıldı
Çanakkale,Lapseki,Şahinli,899,985,77,4560550,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,986,80,4565180,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,987,80,4569810,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,988,80,4574440,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,989,80,4579070,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,990,98,4583700,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,991,77,4588330,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,992,77,4592960,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,993,77,4597590,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,994,77,4602220,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,995,77,4606850,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,996,82,4611480,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,997,84,4616110,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,998,77,4620740,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,999,77,4625370,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,1000,77,4630000,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,1001,77,4634630,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,1002,84,4639260,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,1003,83,4643890,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,1004,77,4648520,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,1005,77,4653150,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,1006,77,4657780,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,1007,77,4662410,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,1008,99,4667040,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,1009,85,4671670,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,1010,77,4676300,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,1011,77,4680930,Satıldı
Çanakkale,Lapseki,Şahinli,900,1012,77,4685560,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,1013,77,4690190,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,1014,90,4694820,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,1015,84,4699450,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,1016,77,4704080,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,1017,77,4708710,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,1018,77,4713340,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,1019,77,4717970,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,1020,126,4722600,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,1021,114,4727230,Satıldı
Çanakkale,Lapseki,Şahinli,899,1022,77,4731860,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,1023,77,4736490,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,1024,77,4741120,Satışa Açık
Çanakkale,Lapseki,Şahinli,899,1025,77,4745750,Satıldı
Çanakkale,Lapseki,Şahinli,899,1026,99,4750380,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,1027,92,4755010,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,1028,77,4759640,Satıldı
Çanakkale,Lapseki,Şahinli,900,1029,77,4764270,Kapalı
Çanakkale,Lapseki,Şahinli,900,1030,70,4768900,Satıldı
Çanakkale,Lapseki,Şahinli,900,1031,88,4773530,Satışa Açık
Çanakkale,Lapseki,Şahinli,900,1032,90,4778160,Satışa Açık
